task,model,accuracy,precision,recall,f1,roc_auc,MAE,RMSE,R2,Adjusted_R2
classification,Logistic Regression,0.8258426966292135,0.8135593220338984,0.7058823529411765,0.7559055118110236,0.858422459893048,,,,
classification,Decision Tree,0.7808988764044944,0.7543859649122807,0.6323529411764706,0.688,0.8264705882352941,,,,
classification,Random Forest,0.7808988764044944,0.7230769230769231,0.6911764705882353,0.706766917293233,0.8354946524064171,,,,
classification,Tuned Random Forest,0.8202,0.7903,0.7206,0.7538,0.8417,,,,
regression,Linear Regression,,,,,,17.688668575875703,43.32576824816406,0.36416178055053894,0.30528787134225555
